id,name,themegroup,theme,subtheme,year,pieces,minifigs,package,retail_price
100STORES-1,100 Stores minifigure,Miscellaneous,Promotional,LEGO brand stores,2019,NA,0,Blister pack,NA
10264-1,Corner Garage,Model making,Creator Expert,Modular Buildings,2019,2569,6,Box,199.99
10265-1,Ford Mustang,Model making,Creator Expert,Vehicles,2019,1471,0,Box,149.99
10766-1,Woody & RC,Licensed,Toy Story,Toy Story 4,2019,69,0,Box,9.99
10769-1,RV Vacation,Licensed,Toy Story,Toy Story 4,2019,178,0,Box,34.99
10770-1,Buzz & Woody's Carnival Mania!,Licensed,Toy Story,Toy Story 4,2019,230,0,Box,49.99
10771-1,Carnival Thrill Coaster,Licensed,Toy Story,Toy Story 4,2019,98,0,Box,19.99
10883-1,My First Tow Truck,Pre-school,Duplo,NA,2019,11,0,Box,9.99
10884-1,My First Balancing Animals,Pre-school,Duplo,NA,2019,15,0,Box,14.99
10885-1,My First Fun Puzzle,Pre-school,Duplo,NA,2019,NA,0,NA,19.99
10886-1,My First Car Creations,Pre-school,Duplo,NA,2019,34,0,NA,19.99
10887-1,Creative Fun,Pre-school,Duplo,NA,2019,120,0,Box,39.99
10893-1,Spider-Man vs. Electro,Pre-school,Duplo,Spider-Man,2019,29,0,NA,19.99
10894-1,Train,Pre-school,Duplo,Toy Story,2019,21,0,Box,19.99
10895-1,Emmet and Lucy's Visitors from the DUPLO Planet,Pre-school,Duplo,NA,2019,53,2,Box,29.99
10897-1,My First Minnie Build,Pre-school,Duplo,NA,2019,10,0,NA,9.99
10898-1,My First Mickey Build,Pre-school,Duplo,NA,2019,9,0,NA,9.99
10900-1,Police Bike,Pre-school,Duplo,NA,2019,8,0,Box,9.99
10901-1,Fire Truck,Pre-school,Duplo,NA,2019,21,0,Box,19.99
10902-1,Police Station,Pre-school,Duplo,NA,2019,38,0,NA,29.99
10903-1,Fire Station,Pre-school,Duplo,NA,2019,76,0,NA,49.99
10908-1,Plane,Pre-school,Duplo,NA,2019,12,1,Box,9.99
11001-1,Bricks and Ideas,Basic,Classic,NA,2019,123,0,NA,9.99
11002-1,Basic Brick Set,Basic,Classic,NA,2019,300,0,NA,19.99
11003-1,Bricks and Eyes,Basic,Classic,NA,2019,451,0,NA,29.99
11005-1,Creative Fun,Basic,Classic,NA,2019,900,0,Box,39.99
2000700-1,LME Replacement Pack 1,Educational,Education,Mindstorms,2015,70,0,Polybag,NA
21043-1,San Francisco,Model making,Architecture,Skylines,2019,565,0,Box,49.99
21044-1,Paris,Model making,Architecture,Skylines,2019,649,0,Box,49.99
21148-1,Minecraft Steve BigFig with Parrot,Licensed,Minecraft,Bigfigs Series 1,2019,159,0,Box,14.99
21149-1,Minecraft Alex BigFig with Chicken,Licensed,Minecraft,Bigfigs Series 1,2019,160,0,Box,14.99
21150-1,Minecraft Skeleton BigFig with Magma Cube,Licensed,Minecraft,Bigfigs Series 1,2019,142,0,Box,14.99
21151-1,The End Battle,Licensed,Minecraft,Minifig-scale,2019,222,2,Box,19.99
21152-1,Pirate Ship,Licensed,Minecraft,Minifig-scale,2019,386,3,Box,39.99
21316-1,The Flintstones,Miscellaneous,Ideas,Licensed,2019,748,4,Box,59.99
30327-1,My First Duck,Pre-school,Duplo,NA,2019,NA,0,Polybag,NA
30328-1,Town Rescue - Dog,Pre-school,Duplo,NA,2019,NA,0,Polybag,NA
30340-1,Emmet's 'Piece' Offering,Licensed,The Lego Movie 2: The Second Part,NA,2019,44,1,Polybag,NA
30361-1,Fire ATV,Modern day,City,Fire,2019,39,1,Polybag,NA
30362-1,Sky Police Jetpack,Modern day,City,Sky Police,2019,33,2,Polybag,3.9900000000000000
30363-1,Jet-Ski,Modern day,City,NA,2019,33,1,Polybag,NA
30364-1,Popcorn Cart,Modern day,City,NA,2019,43,1,Polybag,NA
30393-1,Steve and Creeper Set,Licensed,Minecraft,Minifig-scale,2019,NA,2,Polybag,NA
30408-1,Tulips,Girls,Friends,NA,2019,NA,0,Polybag,NA
30409-1,Emma's Bumper Cars,Girls,Friends,NA,2019,NA,1,Polybag,NA
30451-1,Spider-Man's Mini Spider Crawler,Licensed,Marvel Super Heroes,Spider-Man,2019,38,1,Polybag,NA
30460-1,Rex's Plantimal Ambush,Licensed,The Lego Movie 2: The Second Part,NA,2019,32,1,Polybag,NA
30527-1,Lucy vs. Alien Invader,Licensed,The Lego Movie 2: The Second Part,NA,2019,44,1,Polybag,NA
30528-1,Mini Master-Building MetalBeard,Licensed,The Lego Movie 2: The Second Part,NA,2019,42,1,Polybag,NA
30529-1,Mini Master-Building Emmet,Licensed,The Lego Movie 2: The Second Part,NA,2019,49,1,Polybag,NA
30533-1,Sam-X,Action/Adventure,Ninjago,Legacy,2019,NA,0,Polybag,NA
30534-1,Ninja Workout,Action/Adventure,Ninjago,Legacy,2019,31,1,Polybag,NA
